amfi_code,annualised_return,annualised_volatility,sharpe_ratio
100016,0.025434874968783827,0.14548134802183876,-0.27196012113715706
100025,0.042986524949270466,0.039052455281001604,-0.5636899112317463
100033,0.2892786602653088,0.18936710835214166,1.1843591118698746
101206,0.22626535384993396,0.1456821284745432,1.1069673098448296
101207,0.07650158706195587,0.25797322217077717,0.04458442223255971
101208,0.06273896744282736,0.0050643713523107455,-0.44645868161721297
102885,0.1754041909151418,0.12836628397860558,0.860071566249768
102886,0.011304481066713112,0.181345762973113,-0.29609469806718336
102887,0.1620550058321799,0.15758366917913,0.615895075535109
118632,0.23116077255008194,0.1414835229499666,1.1744178338621243
118633,0.15661395483825524,0.1399721364918615,0.6545156567184499
118634,0.15756667292982707,0.2524152094634045,0.36672383223898997
118635,0.15357116291589867,0.12983158874316303,0.6822004088012276
118636,0.05125853868983454,0.039855381553882616,-0.3447830825954494
119092,0.06138099361837401,0.13950661341123846,-0.025941468243930912
119093,0.07610501956376337,0.1398329559363886,0.07941632563939467
119094,0.271024728933271,0.19407117423334738,1.061593664010869
119095,0.014677909675495204,0.25066580232600433,-0.2007537121440212
119120,0.05677262981067255,0.03967062369033872,-0.20739200506522731
119551,0.24796597841572532,0.1374143414187964,1.3314911422389428
119552,0.20696789746966338,0.13939367612717493,1.0184672749439498
119598,0.3112656003244598,0.2514057862438468,0.9795542258744938
119599,0.019817724717167584,0.24950125122855862,-0.18109037554061264
120503,0.18070820555282663,0.13884437513119793,0.8333661730515961
120504,0.2239354198337271,0.1436378056673665,1.1065013078923422
120505,0.31512437994004827,0.1929094940631819,1.2965892692566354
120506,0.16439416926901051,0.15230516379673079,0.652598814060328
120507,0.06975241651998298,0.004939126259512018,0.9621978200760791
120841,0.13028336972322685,0.1346379580078445,0.48488086635585487
120842,0.06459250268658279,0.1789471500657187,-0.002277193647775677
120843,0.29677649274395934,0.15886986523609253,1.4589078451065725
120844,0.06665013659448804,0.005133170487371137,0.32146537866758584
125497,0.18293785974311172,0.14668866752399518,0.8040011661011207
125498,0.10884920788755958,0.18352430087335772,0.23892861969172163
148567,0.29741361253937937,0.14193706754620344,1.6374412727931267
148568,0.216479764248394,0.15429144469823303,0.981776822069829
148569,0.30673611122544675,0.176740066913467,1.3677493476552898
149322,0.12894863151904712,0.14353859818510514,0.44551522954529593
149323,0.28409564547344024,0.17746159397550829,1.2346087993759254
149324,0.309965179599899,0.24840205005242075,0.9861640817706759
