,amfi_code,annualised_return,downside_volatility,sortino_ratio
0,100016,0.025434874968783827,0.08351285215186827,-0.4737609123834847
1,100025,0.042986524949270466,0.023514487863530113,-0.9361664680297554
2,100033,0.2892786602653088,0.11322875898057067,1.9807570292613874
3,101206,0.22626535384993396,0.08315720784547673,1.939282932029155
4,101207,0.07650158706195587,0.15168286200797332,0.07582654302337251
5,101208,0.06273896744282736,0.002457015451947604,-0.9202353836970718
6,102885,0.1754041909151418,0.07305491141338039,1.5112493982837232
7,102886,0.011304481066713112,0.10750084224590345,-0.4994892859579719
8,102887,0.1620550058321799,0.08966740219556735,1.0823889558046966
9,118632,0.23116077255008194,0.08271674998912053,2.00879232527797
10,118633,0.15661395483825524,0.07822690620034216,1.1711309993984464
11,118634,0.15756667292982707,0.15172834366505497,0.6100816149036127
12,118635,0.15357116291589867,0.075853432661716,1.1676618948927469
13,118636,0.05125853868983454,0.023167111549037504,-0.5931452128194358
14,119092,0.06138099361837401,0.08168850530540543,-0.044302516836313255
15,119093,0.07610501956376337,0.08197854923650982,0.13546250412074445
16,119094,0.271024728933271,0.11370357218085257,1.8119459660033892
17,119095,0.014677909675495204,0.14856565206962133,-0.33871954670197046
18,119120,0.05677262981067255,0.02385661882671402,-0.3448674034274572
19,119551,0.24796597841572532,0.07757590272698997,2.3585414024717286
20,119552,0.20696789746966338,0.08254632509603786,1.7198572717136948
21,119598,0.3112656003244598,0.14185734802451816,1.7360087704578833
22,119599,0.019817724717167584,0.15116589359593172,-0.29889199347840456
23,120503,0.18070820555282663,0.08280923066063352,1.3972863246009224
24,120504,0.2239354198337271,0.08167518008136893,1.945945141172479
25,120505,0.31512437994004827,0.11217995669684916,2.229670854803188
26,120506,0.16439416926901051,0.09017978330852094,1.1021779563271463
27,120507,0.06975241651998298,0.002327140813806639,2.0421697268113226
28,120841,0.13028336972322685,0.07715031298268793,0.8461841203142759
29,120842,0.06459250268658279,0.10906710855119692,-0.003736207174007306
30,120843,0.29677649274395934,0.087806318736426,2.6396334122570164
31,120844,0.06665013659448804,0.002426739855581489,0.6799808354788145
32,125497,0.18293785974311172,0.08552176122236872,1.3790391832139253
33,125498,0.10884920788755958,0.1084280711995899,0.4044082625692361
34,148567,0.29741361253937937,0.08616799887021052,2.6972149241790966
35,148568,0.216479764248394,0.08753269187849354,1.7305507347890898
36,148569,0.30673611122544675,0.10166295570138459,2.3778190350426183
37,149322,0.12894863151904712,0.08739635454822768,0.731708225699031
38,149323,0.28409564547344024,0.10714523733176572,2.044847264606172
39,149324,0.309965179599899,0.14565515733818327,1.6818160378017852
